BALANCE,CREDIT_LIMIT,PURCHASES,PURCHASES_FREQUENCY,PURCHASES_TRX,ONEOFF_PURCHASES,ONEOFF_PURCHASES_FREQUENCY
muito baixo,baixo,baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,médio,alto,moderada,médio,alto
médio,alto,alto,baixo,nenhuma,médio,baixo
baixo,baixo,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,médio,alto,alto,baixa,muito baixo,baixo
baixo,alto,alto,alto,alta,médio,alto
médio,médio,médio,alto,moderada,muito baixo,baixo
médio,alto,médio,médio,baixa,médio,baixo
baixo,alto,alto,baixo,nenhuma,médio,baixo
médio,baixo,médio,alto,moderada,muito baixo,baixo
baixo,médio,alto,baixo,baixa,médio,baixo
médio,médio,alto,alto,alta,médio,baixo
médio,alto,alto,alto,alta,baixo,baixo
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,alto,médio,baixa,muito baixo,baixo
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,médio,médio,médio,baixa,muito baixo,baixo
médio,alto,médio,alto,baixa,baixo,baixo
alto,médio,médio,alto,moderada,muito baixo,baixo
médio,médio,baixo,alto,baixa,muito baixo,baixo
alto,alto,alto,alto,alta,médio,alto
baixo,médio,médio,alto,moderada,muito baixo,baixo
alto,alto,alto,alto,moderada,médio,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,médio,médio,alto,moderada,muito baixo,baixo
médio,médio,baixo,baixo,nenhuma,baixo,baixo
muito baixo,baixo,baixo,alto,moderada,muito baixo,baixo
alto,alto,médio,alto,baixa,baixo,baixo
muito baixo,alto,baixo,médio,baixa,muito baixo,baixo
alto,alto,alto,alto,alta,médio,baixo
médio,alto,alto,alto,alta,baixo,baixo
alto,alto,baixo,baixo,nenhuma,baixo,baixo
muito baixo,baixo,médio,alto,baixa,médio,alto
alto,alto,médio,alto,moderada,muito baixo,baixo
médio,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,médio,alto,alto,alta,médio,médio
alto,alto,baixo,baixo,nenhuma,baixo,baixo
médio,alto,médio,baixo,baixa,médio,baixo
baixo,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,médio,alto,médio,alta,médio,médio
alto,médio,baixo,baixo,nenhuma,baixo,baixo
médio,baixo,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,alto,alto,moderada,baixo,médio
alto,médio,médio,médio,baixa,baixo,baixo
baixo,médio,baixo,médio,nenhuma,muito baixo,baixo
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,médio,alto,alto,alta,médio,alto
baixo,médio,médio,baixo,nenhuma,baixo,baixo
alto,alto,médio,médio,baixa,médio,médio
médio,médio,alto,alto,moderada,médio,médio
médio,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,médio,alto,alto,baixa,médio,alto
muito baixo,baixo,baixo,alto,baixa,muito baixo,baixo
médio,alto,alto,baixo,baixa,médio,baixo
alto,médio,baixo,baixo,nenhuma,baixo,baixo
alto,alto,alto,alto,alta,médio,alto
